status,destination,old_sha256,new_sha256,reason
removed,config/ftbquests/quests/chapters/creative_expeditions.snbt,cf73cdd1a5a4942141e4cbba5b34ed112351d4c9012cda399e227c8db7598a95,,Legacy chapter merged into the 10-chapter guide
removed,config/ftbquests/quests/chapters/creatures_companions.snbt,56d239526e6f7a600c2a6eedfe0c7a4b5d0c77b3cc8ee3e6137af197f7249ea6,,Legacy chapter merged into the 10-chapter guide
removed,config/ftbquests/quests/chapters/culture_collection.snbt,d65a67078054392652646517423d2ae38d30d4a9383cd94cd2e834a2ebac9e88,,Legacy chapter merged into the 10-chapter guide
added,config/ftbquests/quests/chapters/endgame.snbt,,dde3747a8eae047a08e660c79296efc39dff272f25ba7881f3bffb33e830228a,New consolidated release-candidate chapter
replaced,config/ftbquests/quests/chapters/first_days.snbt,277dfdbc3ed5596937932d9e76275a7e67b233dc91178c2e35381846ab1e06a5,70f42b9565b9b487ef9adf2fa11e094dc1f0257e9055e559d59a38aaeb12ba4f,Quest definition rebuilt in place
removed,config/ftbquests/quests/chapters/frozen_ocean.snbt,104e51d4c1211ccde899eb74355e30ccbd5a5f181ccd233d030712565c1cdbfa,,Legacy chapter merged into the 10-chapter guide
removed,config/ftbquests/quests/chapters/graduation.snbt,3f94d391b7556206a2ea2371cf3f17c1a4c419eabd11d6cc87948e8bc09adf2b,,Legacy chapter merged into the 10-chapter guide
replaced,config/ftbquests/quests/chapters/homestead.snbt,6b4f586230e4dcf0b6ab1de9877edc778da1e2a686fe9f4d641a3519202a56d0,dc981f17e8caf4fa41c03aa7cb1de463eca263cb4e03ad3b98e7d4535d1ae85e,Quest definition rebuilt in place
removed,config/ftbquests/quests/chapters/mod_index.snbt,33dba20dcd1f1a124627548323d52c47cc6fdcde3354635e3ef99b8a3268f43b,,Legacy chapter merged into the 10-chapter guide
removed,config/ftbquests/quests/chapters/nether_end.snbt,59e32d54cdc0e6b82babd572090cb646ba506c18d0c1e24a88510ee3835cb46e,,Legacy chapter merged into the 10-chapter guide
replaced,config/ftbquests/quests/chapters/new_horizons.snbt,84a6763b172e3e3575d56617fedf44fe2d0c16a5eac25ffbb5ca0a3131d59f0b,267bae5c5553bdc12ae7d5ee3211838362d82ffb31c33b76a13f79eadb8248f4,Quest definition rebuilt in place
removed,config/ftbquests/quests/chapters/otherside.snbt,03562792c498391ab89732076a06cd690f40ea279e103d9d1ff3c82043c91e89,,Legacy chapter merged into the 10-chapter guide
removed,config/ftbquests/quests/chapters/productivebees.snbt,6c6cef851071a65704d71ce0f23bb3c6cb96c59492338122b189303ecbe4d31b,,Legacy chapter merged into the 10-chapter guide
removed,config/ftbquests/quests/chapters/seasons_ecology.snbt,18dbac64436ddf2819ea0e587fbebb090945489982e2bbb0ee07156f4c855e12,,Legacy chapter merged into the 10-chapter guide
removed,config/ftbquests/quests/chapters/settlements_bounties.snbt,3c57ac5b07d2ccfb3395a7a69c87c39dc8378cc81e3203c2f93bedb4a715f2f8,,Legacy chapter merged into the 10-chapter guide
removed,config/ftbquests/quests/chapters/structures_dungeons.snbt,13c6f8380e83e9abd11f791b9295aaf0ac38e3017678691d438379d09d853a06,,Legacy chapter merged into the 10-chapter guide
removed,config/ftbquests/quests/chapters/tea_storage.snbt,99de8c3638823f4e3638ba6c55b838c3f3a11db693e55ac07aa2067e17152047,,Legacy chapter merged into the 10-chapter guide
added,config/ftbquests/quests/chapters/tinkers_deferred.snbt,,1ca45f4ccaf564caba47637d222f03a5b6c9e1ca04f138d1dd03acba8520967d,New consolidated release-candidate chapter
replaced,config/ftbquests/quests/chapters/travel_storage.snbt,5762b64c9578cdd8f50ce56348d5a7238d959fa4a5b61046d5da2215109264f9,4b57ce5c96db4886e150dd6c258b94ca7b0ca485d8ddb41876556b5cd83c5887,Quest definition rebuilt in place
removed,config/ftbquests/quests/chapters/twilight.snbt,3a9ff52688bb6a809ba27be0f86875b6c5bf711e4210dc224f5e0951c8cda1b8,,Legacy chapter merged into the 10-chapter guide
added,config/ftbquests/quests/chapters/vehicles.snbt,,39de513d0aaf525bf78097663a8d89e6d86b7beb8cf375865a4c1b3510261714,New consolidated release-candidate chapter
replaced,config/ftbquests/quests/chapters/welcome.snbt,1b63baa3f79f2f5ac207e4f545722f95fc7a2e3ef3740c83dcf21e2daea5fd1a,b74b41b9e430a800c853003fd5a14d271773e765fee24beb1c6caafc43e9a616,Quest definition rebuilt in place
removed,config/ftbquests/quests/chapters/wildlife_fishing.snbt,4c0d5bd4d25fa61f4ccb4da627495cecc210811beaa46c23fd87ddc811b0ff3b,,Legacy chapter merged into the 10-chapter guide
removed,config/ftbquests/quests/chapters/world_lore.snbt,ece32e8cc9979bdf3c27522086f0af0487892327c9210564ccb03c86bb2c58a1,,Legacy chapter merged into the 10-chapter guide
replaced,config/ftbquests/quests/data.snbt,7c489bbd962679bcc5e645d94469c57b91d81fad5b5dd2445aa13303903d08ce,813d541df83c827b5fedf30c332503a537f1eb0e4fe193fc49b2f98f23c504e4,Quest definition rebuilt in place
